Competition ID,Round,Athlete Name,Athlete ID,Athlete Nation,Opponent Name,Opponent ID,Opponent Nation,Result,Hit,Counter-Hit,hand_a,rank_a,hand_b,rank_b
245,A64,JIJIEISHVILI Lika,39559,GEO,BUITENHUIS Marleen,40877,NED,Won,15,12,R,59.0,L,117.0
245,A64,PONICH Marissa,26433,CAN,FUKUSHIMA Shihomi,35881,JPN,Loss,8,15,R,88.0,R,38.0
245,A64,AU Sin Ying,15796,HKG,PANTIS Ilinca,43814,ROU,Won,15,11,R,90.0,L,132.0
245,A64,PEKELMAN Luana,43049,BRA,KARIMOVA Sabina,14957,AZE,Won,15,11,R,82.0,L,81.0
245,A64,MAXWELL Caitlin,34133,GBR,NICANOR Jylyn,31051,PHI,Won,15,5,L,129.0,R,156.0
245,A64,PEREZ CUENCA Celia,26879,ESP,RIFKISS Margaux,30627,FRA,Won,15,9,R,21.0,R,100.0
245,A64,SZUCS Luca,42875,HUN,PLIEGO Paola,27182,UZB,Won,15,4,L,19.0,R,
245,A64,VASILEVA Veronika,51855,AUS,NEIKOVA Emma,48279,BUL,Won,15,9,L,56.0,R,109.0
245,A64,BATTAI Sugar Katinka,42833,HUN,SHCHUKLA Iryna,28351,TÜR,Won,15,9,L,31.0,R,183.0
245,A64,KASPIAROVICH Palina,29970,AZE,GETTE Lisa,36729,GER,Loss,14,15,L,70.0,R,91.0
245,A64,LEUNG Lok Man Laren,43041,HKG,ALKAYA Begum,51307,TÜR,Won,15,11,R,131.0,R,182.0
245,A64,MORAN Maria Macarena,21020,ARG,MARTIS Sabina,35177,ROU,Loss,9,15,R,,R,73.0
245,A64,ERBIL Nisanur,45353,TÜR,WEE Nicole Sher Tynn,35758,SGP,Won,15,6,R,16.0,R,
245,A64,LOO Heidi Yan Kay,46711,SGP,YOON Jisu,27302,KOR,Loss,9,15,R,340.0,R,17.0
245,A64,CORTEYN Jolien,39443,BEL,GULIK Anastassiya,37580,KAZ,Loss,12,15,R,74.0,R,119.0
245,A64,PERDIBAEVA Gulistan,51518,UZB,HERBON Felice,51655,GER,Won,15,6,R,164.0,R,126.0
245,A64,HERNANDEZ Elena,39583,ESP,UNLUDAG Deniz Selin,39155,TÜR,Loss,12,15,R,67.0,R,69.0
245,A64,SMIRNOVA Anna,44305,AIN,GONZALEZ Diana,39500,MEX,Won,15,7,R,189.0,R,224.0
245,A64,PRIKHODKO Tatyana,26339,KAZ,ONG Jessica Shu Hui,35754,SGP,Won,15,14,R,136.0,R,
245,A64,DAYKIN Kate,30579,GBR,JEON Eunhye,35212,KOR,Loss,9,15,R,198.0,R,39.0
245,A64,TROIS Karina,31023,BRA,KUVAEVA Alexandra,52593,GEO,Loss,10,15,R,85.0,L,115.0
245,A64,CHADALAVADA ANANDHA SUNDHARARAMAN Bhavani Devi,20960,IND,FU Ying,38073,CHN,Won,15,6,R,44.0,R,95.0
245,A64,CHU Wing Kiu,40154,HKG,PEREZ MAURICE Maria Belen,1458,ARG,Won,15,13,R,63.0,L,
245,A64,BOUDIAF Saoussen,26533,ALG,CHART Maria,34121,GBR,Loss,14,15,R,52.0,R,172.0
245,B64,EMURA Misaki,32026,JPN,PERDIBAEVA Gulistan,51518,UZB,Won,15,9,R,4.0,R,164.0
245,B64,MORMILE Chiara,26677,ITA,TAKASHIMA Risa,31865,JPN,Loss,12,15,L,25.0,R,37.0
245,B64,MATUSZAK Sylwia,33907,POL,HRAMOVA Olga A.,17756,BUL,Won,15,10,R,167.0,R,49.0
245,B64,FUKUSHIMA Shihomi,35881,JPN,QUEROLI Caroline,33874,FRA,Loss,9,15,R,38.0,R,51.0
245,B64,NAVARRO Araceli,7739,ESP,HENG Juliet Jie Min,51785,SGP,Won,15,8,R,7.0,R,89.0
245,B64,MAXWELL Caitlin,34133,GBR,GORDON Tamar,50517,CAN,Won,15,12,L,129.0,R,263.0
245,B64,TOLEDO Julieta,30696,MEX,ERBIL Nisanur,45353,TÜR,Loss,11,15,R,143.0,R,16.0
245,B64,PEREZ CUENCA Celia,26879,ESP,CRISCIO Martina,26008,ITA,Loss,12,15,R,21.0,L,23.0
245,B64,APITHY-BRUNET Manon,30542,FRA,KUVAEVA Alexandra,52593,GEO,Won,15,6,R,2.0,L,115.0
245,B64,CIESLAR Zuzanna,36407,POL,PUSZTAI Liza,39147,HUN,Loss,10,15,R,40.0,R,13.0
245,B64,GREGORIO Rossella,15098,ITA,LEUNG Lok Man Laren,43041,HKG,Won,15,10,L,45.0,R,131.0
245,B64,PAIZI Marina,18023,GRE,TARTAKOVSKY Elizabeth,35774,USA,Loss,13,15,R,204.0,R,11.0
245,B64,SKARBONKIEWICZ Magda,51700,USA,CHU Wing Kiu,40154,HKG,Won,15,7,L,24.0,R,63.0
245,B64,AU Sin Ying,15796,HKG,EIFLER Larissa,34051,GER,Loss,10,15,R,90.0,L,42.0
245,B64,ZHANG Xinyi,49609,CHN,JIJIEISHVILI Lika,39559,GEO,Loss,14,15,R,54.0,R,59.0
245,B64,PEKELMAN Luana,43049,BRA,GKOUNTOURA Theodora,32856,GRE,Loss,6,15,R,82.0,R,6.0
245,B64,GEORGIADOU Despina,18021,GRE,UNLUDAG Deniz Selin,39155,TÜR,Won,15,13,L,12.0,R,69.0
245,B64,BATTAI Sugar Katinka,42833,HUN,FUNKE Julika,36389,GER,Loss,9,15,L,31.0,R,124.0
245,B64,KOZACZUK Malgorzata,10286,POL,YOON Jisu,27302,KOR,Loss,12,15,L,55.0,R,17.0
245,B64,GETTE Lisa,36729,GER,MARTON Anna,26354,HUN,Won,15,13,R,91.0,R,28.0
245,B64,BATTISTON Michela,31927,ITA,GULIK Anastassiya,37580,KAZ,Won,15,5,R,27.0,R,119.0
245,B64,OZAKI Seri,45314,JPN,YANG Hengyu,34904,CHN,Loss,14,15,R,36.0,R,26.0
245,B64,JEON Hayoung,43610,KOR,NAZLYMOV Tatiana,53445,USA,Won,15,10,L,8.0,R,20.0
