Gender,Weapon,Season,Competition,Date of Duel,Athlete Name,Athlete Year End World Ranking,Athlete Hand,Opponent Name,Opponent Year End World Ranking,Opponent Hand,Result,Hit,Counter-Hit
Men,Foil,2023,World Championships (Milan),24-07-2023,ITKIN Nick,2.0,R,MARINI Tommaso,4.0,R,Loss,13,15
Women,Sabre,2023,World Championships (Milan),24-07-2023,PERRONI Maria Alicia,106.0,L,RUIDO Fabiangela,,R,Won,15,11
Women,Sabre,2023,World Championships (Milan),24-07-2023,BANEZCA Luismar,,R,BUITENHUIS Marleen,117.0,L,Loss,14,15
Women,Sabre,2023,World Championships (Milan),24-07-2023,VASILEVA Veronika,56.0,L,MITRUS Alexandra,335.0,R,Won,15,8
Women,Sabre,2023,World Championships (Milan),24-07-2023,SHCHUKLA Iryna,183.0,R,SIT Summer Fay,62.0,R,Won,15,12
Women,Sabre,2023,World Championships (Milan),24-07-2023,THURGOOD Madison,,R,PERDIBAEVA Gulistan,164.0,R,Loss,10,15
Women,Sabre,2023,World Championships (Milan),24-07-2023,BOUDIAF Saoussen,52.0,R,POTTER Sophia,202.0,L,Won,15,4
Women,Sabre,2023,World Championships (Milan),24-07-2023,MORMILE Chiara,25.0,L,PERRONI Maria Alicia,106.0,L,Won,15,11
Women,Sabre,2023,World Championships (Milan),24-07-2023,PAIZI Marina,204.0,R,HAFEZ Nada,29.0,R,Won,15,5
Women,Sabre,2023,World Championships (Milan),24-07-2023,OZAKI Seri,,,HERRERA LARA Luisa Fernanda,105.0,R,Won,15,10
Women,Sabre,2023,World Championships (Milan),24-07-2023,ATANASOVA Kalina,180.0,R,BOLSHAKOVA Valeriya,120.0,L,Won,15,9
Women,Sabre,2023,World Championships (Milan),24-07-2023,NAZLYMOV Tatiana,20.0,R,LISINA Alena,,R,Won,15,5
Women,Sabre,2023,World Championships (Milan),24-07-2023,KEHLI Zohra Nora,71.0,L,HRAMOVA Olga A.,49.0,R,Loss,9,15
Women,Sabre,2023,World Championships (Milan),24-07-2023,DAYIBEKOVA Zaynab,22.0,R,HENG Juliet Jie Min,89.0,R,Loss,13,15
Women,Sabre,2023,World Championships (Milan),24-07-2023,RODRIGUEZ Shia,,R,CIESLAR Zuzanna,40.0,R,Loss,9,15
Women,Sabre,2023,World Championships (Milan),24-07-2023,JIJIEISHVILI Lika,59.0,R,BUITENHUIS Marleen,117.0,L,Won,15,12
Women,Sabre,2023,World Championships (Milan),24-07-2023,PONICH Marissa,88.0,R,FUKUSHIMA Shihomi,38.0,R,Loss,8,15
Women,Sabre,2023,World Championships (Milan),24-07-2023,AU Sin Ying,90.0,R,PANTIS Ilinca,132.0,L,Won,15,11
Women,Sabre,2023,World Championships (Milan),24-07-2023,PEKELMAN Luana,82.0,R,KARIMOVA Sabina,81.0,L,Won,15,11
Women,Sabre,2023,World Championships (Milan),24-07-2023,MAXWELL Caitlin,129.0,L,NICANOR Jylyn,156.0,R,Won,15,5
