Gender,Weapon,Season,Competition,Date of Duel,Athlete Name,Athlete Year End World Ranking,Athlete Hand,Opponent Name,Opponent Year End World Ranking,Opponent Hand,Result,Hit,Counter-Hit
Men,Epee,2016/2017,Heidenheimer Pokal (Heidenheim),21-01-2016,ZAWROTNIAK Radoslaw,83.0,L,SANTARELLI Andrea,20.0,R,Loss,14,15
Men,Epee,2016/2017,Heidenheimer Pokal (Heidenheim),21-01-2016,CIMINI Gabriele,94.0,R,FERRARIS Luca,165.0,L,Loss,10,15
Men,Epee,2016/2017,Heidenheimer Pokal (Heidenheim),21-01-2016,STAUB Florian,,R,VALLOSIO Andrea,112.0,R,Won,15,8
Men,Epee,2016/2017,Heidenheimer Pokal (Heidenheim),21-01-2016,KALININ Alexey,110.0,R,SZENYI Peter,206.0,R,Won,15,12
Men,Epee,2016/2017,Heidenheimer Pokal (Heidenheim),21-01-2016,NGUYEN Tien Nhat,,R,SCHMIER Robert,902.0,R,Won,15,10
Men,Epee,2016/2017,Heidenheimer Pokal (Heidenheim),21-01-2016,BORSKY Peer,111.0,R,UYAMA Satoru,13.0,R,Won,15,10
Men,Epee,2016/2017,Heidenheimer Pokal (Heidenheim),21-01-2016,BESKIN Grigori,74.0,R,LELION Jean,,R,Won,12,9
Men,Epee,2016/2017,Heidenheimer Pokal (Heidenheim),21-01-2016,FARDZINOV Alan,58.0,R,ISLAS FLYGARE Linus,277.0,R,Won,15,6
Men,Epee,2016/2017,Heidenheimer Pokal (Heidenheim),21-01-2016,POP Adrian,,R,NIGGELER Michele,39.0,R,Loss,11,12
Men,Epee,2016/2017,Heidenheimer Pokal (Heidenheim),21-01-2016,HERPE Ido,46.0,R,MEDVEDIEV Vitalii,,R,Loss,13,14
Men,Epee,2016/2017,Heidenheimer Pokal (Heidenheim),21-01-2016,SIKLOSI Gergely,114.0,R,BRAUN Rico,204.0,R,Loss,8,15
Men,Epee,2016/2017,Heidenheimer Pokal (Heidenheim),21-01-2016,LUCENAY Jean-Michel,11.0,L,KNEIP Christoph,,R,Won,15,7
Men,Epee,2016/2017,Heidenheimer Pokal (Heidenheim),21-01-2016,ADAIKIN Dmitriy,,R,FONG Kiu,47.0,R,Loss,9,15
Men,Epee,2016/2017,Heidenheimer Pokal (Heidenheim),21-01-2016,ADAMEK Michal,,R,FONSON Erwan,,R,Loss,12,13
Men,Epee,2016/2017,Heidenheimer Pokal (Heidenheim),21-01-2016,FIEDLER Joerg,,L,TIKHOMIROV Alexey,,R,Won,15,8
Men,Epee,2016/2017,Heidenheimer Pokal (Heidenheim),21-01-2016,PIZZO Paolo,2.0,R,FICHERA Marco,4.0,R,Loss,2,4
Men,Epee,2016/2017,Heidenheimer Pokal (Heidenheim),21-01-2016,FERREIRA Nicolas,348.0,R,TARANENKO Yuriy,818.0,R,Loss,12,15
Men,Epee,2016/2017,Heidenheimer Pokal (Heidenheim),21-01-2016,BACKER Fredrik,320.0,L,DRIZIN Ariel,219.0,R,Won,15,10
Men,Epee,2016/2017,Heidenheimer Pokal (Heidenheim),21-01-2016,RAMIREZ Yeisser,1028.0,R,BOUZAID Alexandre,36.0,L,Won,15,8
