Competition ID,Round,Athlete Name,Athlete ID,Athlete Nation,Opponent Name,Opponent ID,Opponent Nation,Result,Hit,Counter-Hit
176,A16,TING Hong Kai,34690,TPE,RADFORD Kristian,18947,AUS,Loss,10,15
176,A16,LIM Wei Wen,21124,SIN,LEE Samuel,31043,SIN,Won,15,12
176,A16,FANG Ting Wei,42705,TPE,TSUI Yiu Chung,8641,HKG,Loss,10,15
176,A16,CHEN Tsung Lin,35402,TPE,CHUANG Po Yu,34634,TPE,Won,15,6
176,A8,FONG Kiu,22435,HKG,CHIN Jui Chi,18815,TPE,Won,13,8
176,A8,LEE Samson Mun Hou,18264,SIN,HO Sze Hou,30882,HKG,Loss,8,15
176,A8,RADFORD Kristian,18947,AUS,LIM Wei Wen,21124,SIN,Loss,14,15
176,A8,TSUI Yiu Chung,8641,HKG,CHEN Tsung Lin,35402,TPE,Loss,7,15
176,A4,FONG Kiu,22435,HKG,HO Sze Hou,30882,HKG,Loss,10,15
176,A4,LIM Wei Wen,21124,SIN,CHEN Tsung Lin,35402,TPE,Loss,14,15
176,A2,HO Sze Hou,30882,HKG,CHEN Tsung Lin,35402,TPE,Won,15,7
655,A64,CHOU Jou Chun,40246,TPE,CHEN Wei Ting,37215,TPE,Loss,2,5
655,A64,CHANG Chia Lu,42663,TPE,JEN Chia Hsuan,34688,TPE,Loss,13,15
655,A64,CHIU Chia Yu,34686,TPE,HUANG Shan Chueh,42621,TPE,Won,15,6
655,A32,HSU Jo Ting,13432,TPE,CHEN Wei Ting,37215,TPE,Won,11,10
655,A32,CHIU Yu Wen,42620,TPE,LIN Hui Min,33224,TPE,Loss,6,15
655,A32,WU Tsai Feng,6326,TPE,TSENG Hsin Hui,33244,TPE,Loss,13,15
655,A32,TSAI Yu Lin,42666,TPE,HSIEH Kaylin Sin Yan,39653,HKG,Loss,6,15
655,A32,ABDUL RAHMAN Kiria Tikanah,35271,SIN,LAU Ka Yiu,42537,HKG,Won,15,7
655,A32,PAN Yi Ru,42662,TPE,YANG Ting Hsuan,42718,TPE,Won,5,5
655,A32,CHEN Syuan Yu,42659,TPE,CHIU Chih Ting,40572,TPE,Won,15,14
655,A32,LIANG Wen Ling,42716,TPE,CHENG Ya Fang,34727,TPE,Loss,7,15
655,A32,KONG Man Wai Vivian,22439,HKG,JEN Chia Hsuan,34688,TPE,Won,15,6
655,A32,LIN Yen Chun,42658,TPE,CHEN Hsin Ping,22678,TPE,Loss,11,15
655,A32,CHANG Chialing,15654,TPE,LAI Yu Ting,27219,TPE,Won,15,6
655,A32,WANG Min Yi,42660,TPE,LIM Cheryl,22920,SIN,Loss,8,15
655,A32,HAN Sin Yu,40248,TPE,LIM Victoria Ann Xiu Yan,22654,SIN,Won,15,14
655,A32,YANG Chi Ya,35248,HKG,HU Chia Lin,37216,TPE,Loss,10,15
655,A32,LIN Yik Hei Coco,28847,HKG,HO Tik Lam Debbie,32966,HKG,Loss,4,5
