Gender,Weapon,Season,Competition,Round,Fencer1 Name,Fencer1 Nation,Fencer1 Score,Fencer1 Winner,Fencer2 Name,Fencer2 Nation,Fencer2 Score,Fencer2 Winner,Referees
men,epee,2023,European Games,A128,JURKA Jakub,CZE,10,False,KOLANCZYK Wojciech,POL,15,True,Ref DEAMER Luke GBR
men,epee,2023,European Games,A128,BRINKMANN Marco,GER,15,True,JAVAKHISHVILI Georgii,GEO,11,False,Ref OSTROVSKI Denis EST
men,epee,2023,European Games,A128,ISKROV Svetlozar,BUL,11,False,SANCHEZ-LETHEM Paul James,GBR,15,True,Ref MACHADO Miguel POR
men,epee,2023,European Games,A128,HOUSIEAUX Marc,BEL,14,False,DERKSEN Ruben,NED,15,True,Ref BOROSAK Mirna CRO
men,epee,2023,European Games,A128,KELLY Christopher,SWE,15,True,SALOKAS Arnas,LTU,12,False,Ref MAGE Pascal FRA
men,epee,2023,European Games,A128,PRIINITS Sten,EST,11,False,CIMINI Gabriele,ITA,15,True,Ref DUL Michal POL
men,epee,2023,European Games,A128,MAKIIENKO Ievgen,UKR,15,True,TODOROVSKI Matej,MKD,6,False,Ref DELATTRE Jeffrey BEL
men,epee,2023,European Games,A128,HERZBERG Fabian,GER,15,True,ROD Max,POR,10,False,Ref SAKHVADZE David GEO
men,epee,2023,European Games,A64,CANNONE Romain,FRA,15,True,HASANOV Ruslan,AZE,9,False,"Ref SUH Sangwon KOR, Video MADR Vilem CZE"
men,epee,2023,European Games,A64,KOSHMAN Nikita,UKR,14,False,HAURI Ian,SUI,15,True,"Ref KHALED Amr EGY, Video DUL Michal POL"
men,epee,2023,European Games,A64,SOLA Jakov,CRO,13,False,TULEN Tristan,NED,15,True,"Ref PAPP Zsolt SUI, Video MADR Vilem CZE"
men,epee,2023,European Games,A64,MARKOTA Vedran,CRO,5,False,SVICHKAR Roman,UKR,15,True,"Ref HABLUTZEL-BURKI Gianna SUI, Video KHALED Amr EGY"
men,epee,2023,European Games,A64,BROOKE Alec,GBR,15,True,GALABOV Yordan,BUL,12,False,"Ref PAPP Zsolt SUI, Video DUL Michal POL"
men,epee,2023,European Games,A64,SVENSSON Jonathan,SWE,14,True,DI VEROLI Davide,ITA,13,False,"Ref SUH Sangwon KOR, Video KHALED Amr EGY"
men,epee,2023,European Games,A64,PEREIRA Yulen,ESP,15,True,VAN NUNEN David,NED,14,False,"Ref PAPP Zsolt SUI, Video MADR Vilem CZE"
men,epee,2023,European Games,A64,BERAN Jiri,CZE,13,False,JORGENSEN Patrick,DEN,15,True,"Ref SUH Sangwon KOR, Video KHALED Amr EGY"
men,epee,2023,European Games,A64,RUBES Martin,CZE,15,True,KOLANCZYK Wojciech,POL,9,False,"Ref SAKHVADZE David GEO, Video CIVIERO-AIVANO Ambre SUI"
men,epee,2023,European Games,A64,VUORINEN Niko,FIN,15,True,SANTARELLI Andrea,ITA,11,False,"Ref HEJRSKOV Mads-Vetli DEN, Video MACHADO Miguel POR"
men,epee,2023,European Games,A64,GAVALDA Eugeni,ESP,12,False,CUPR Michal,CZE,14,True,"Ref BOROSAK Mirna CRO, Video SAKHVADZE David GEO"
men,epee,2023,European Games,A64,MICHALAK Damian,POL,15,True,BELLMANN Lukas,GER,12,False,"Ref MACHADO Miguel POR, Video HEJRSKOV Mads-Vetli DEN"
men,epee,2023,European Games,A64,ISLAS FLYGARE Linus,SWE,11,False,MIDELTON Luidgi,FRA,15,True,"Ref CIVIERO-AIVANO Ambre SUI, Video BOROSAK Mirna CRO"
men,epee,2023,European Games,A64,PAAVOLAINEN Jaakko,FIN,11,False,UNTERHAUSER Samuel,GER,15,True,"Ref HEJRSKOV Mads-Vetli DEN, Video MACHADO Miguel POR"
men,epee,2023,European Games,A64,TAURIAINEN Topias,FIN,15,True,DJATSUK Filipp,EST,13,False,"Ref SAKHVADZE David GEO, Video BOROSAK Mirna CRO"
men,epee,2023,European Games,A64,BRINKMANN Marco,GER,15,True,STANKEVYCH Volodymyr,UKR,14,False,"Ref MACHADO Miguel POR, Video HEJRSKOV Mads-Vetli DEN"
men,epee,2023,European Games,A64,FREILICH Yuval Shalom,ISR,15,True,SANCHEZ-LETHEM Paul James,GBR,11,False,"Ref CELLER Pavol SVK, Video KOVRIJNYKH Andrei RSA"
men,epee,2023,European Games,A64,GONELL Gerard,ESP,15,True,RASHAIDA Rahim,BUL,11,False,"Ref DELATTRE Jeffrey BEL, Video BUCHS Daniel SUI"
men,epee,2023,European Games,A64,ANTKIEWICZ Mateusz,POL,11,False,FRAZAO Filipe,POR,15,True,"Ref OSTROVSKI Denis EST, Video DEAMER Luke GBR"
