Competition ID,Round,Athlete Name,Athlete ID,Athlete Nation,Opponent Name,Opponent ID,Opponent Nation,Result,Hit,Counter-Hit
1387,A64,BRAVO Sahel,48498,ESP,PISTORIO Federico,38853,ITA,Loss,8,15
1387,A64,DIAZ HIGUERAS Luis,42940,ESP,EL RHAZZOULY Amir,51110,MAR,Loss,6,15
1387,A64,GARCIA-ALZORRIZ Roger,32394,ESP,DI VEROLI Damiano,46198,ITA,Won,15,13
1387,A64,ROBIN Noe,42984,SEN,EHTESHAMI Ardeshir,56903,IRL,Won,15,1
1387,A64,RAMIREZ LARENA Alejandro,51361,ESP,FILES Petar,30087,CRO,Loss,7,15
1387,A64,BENYUS Attila,52565,HUN,HURST Jake,50989,GBR,Won,15,14
1387,A64,PACHON Santiago,16744,COL,HOLLAND Niklas,46107,CAN,Won,15,9
1387,A64,PANAZZOLO Matteo,48987,ITA,ORTIN German,51981,ESP,Won,15,6
1387,A64,KLOSTERMANN Max,57111,GER,LOMBARDI Giulio,48986,ITA,Loss,9,15
1387,A64,ARCHER Kristjan,23590,GBR,MARCOS PERAL Alvaro,54253,ESP,Won,15,6
1387,A64,WELCH Kyle,60302,IRL,BEKKAT Thibaud,33862,ALG,Loss,8,15
1387,A64,BRETEAU Ignacio,32606,ESP,JURAS Danielius,54374,LTU,Won,15,3
1387,A64,BOJANOV Boris,36819,CAN,MINOTT Kamal,31990,GBR,Loss,12,15
1387,A64,ANDERSEN Emil Ulrik,8195,DEN,ROBSON Samuel Elijah,50909,SGP,Loss,10,15
1387,A64,MENEZES Duarte,52278,POR,MARTINI Tommaso,46216,ITA,Loss,6,15
1387,A64,SZEMES Gergo,43449,HUN,ROMERO ORTIN Hector,54687,ESP,Won,15,1
1387,A64,ADOUL Raian,49228,ITA,PERESSINI TORREGROSA Esteban,53610,ESP,Won,15,9
1387,A64,FRANZONI Giuseppe,48984,ITA,VELLUTI Pietro,36128,ITA,Won,15,10
1387,A64,LACASTA Sergio,25512,ESP,BRAUN Noah,46214,GER,Won,15,8
1387,A64,BRUNNER Remi,52617,SUI,ZABALA Juan,49385,ESP,Loss,12,15
1387,A64,KIM YUOM San,54466,ESP,DONAGHUE Joe,47687,GBR,Loss,6,15
1387,A64,MACEDO Luis,42924,POR,LASIC Vigo,52497,CRO,Won,15,9
1387,A64,JARAS EGUINOA Martin,57396,ESP,INGARGIOLA Francesco,29961,ITA,Loss,4,15
1387,A64,LLAVADOR Carlos,21966,ESP,LOPEZ GOMEZ Jose Miguel,46217,ESP,Won,15,8
1387,A64,FERNANDEZ HERNANDEZ Erik,39464,ESP,GUMA Arnau,45241,ESP,Won,15,14
1387,A64,IANDOLO Francesco Pio,39374,ITA,NOWAK Jan,52165,POL,Won,15,11
1387,A64,FERREIRO German,52639,ESP,LESKOVAC Janko,46551,CRO,Loss,10,15
1387,A64,NIGOSANTI Andrea,52580,ARG,DIAZ ESCALONA Mario,46064,ESP,Loss,7,15
1387,A64,LECHNER Moritz,36544,AUT,HEROUI Salim,32434,ALG,Won,15,10
1387,A64,SPOLJAR Borna,45857,CRO,MASCIOLI Alberto,56511,GBR,Won,15,14
1387,A64,RODRIGUEZ DOMINGUEZ Jaime,34434,ESP,ROSATELLI Damiano,28626,ITA,Loss,2,15
1387,A32,DI TOMMASO Alessio,41836,ITA,PISTORIO Federico,38853,ITA,Won,15,8
